sentence text,event interval start,event interval end,trigger,rule,polarity,controller,controlled
""" To formally prove that increased ROS levels enhance anti-tumour effects of the SG-free diet , the authors crossed Emu-Myc mice with mice deficient for Tigar , a fructose-2 ,6-bisphosphatase , which limits glycolysis and favours pentose phosphate pathways , thus limiting ROS levels XREF_BIBR , XREF_BIBR ( XREF_FIG ) . """,28,34,limits,Negative_activation_syntax_5_verb,Negative_activation,"""fructose-2,6-bisphosphatase""","""glycolysis"""
""" Accordingly , Wu et al. ( 2001 ) demonstrated reduced in vitro kinase activity and phosphorylation by ATM kinase compared to the wild-type CHEK2 protein [ XREF_BIBR ] , presumably due to the variant 's occurrence within the forkhead homology associated domain , involved in protein-phosphoprotein interactions [ XREF_BIBR ] . """,10,25,reduced,Negative_activation_syntax_3_verb,Negative_activation,"""ATM""","""CHEK2"""
Ang-2 has been reported to completely disrupt protective Tie-2 signaling in numerous studies .,0,9,disrupt,Negative_activation_syntax_1_verb,Negative_activation,"""Ang-2""","""Tie-2"""
Angiopoietin-2 ( Ang-2 ) inhibits Tie-2 signaling by blocking the Tie-2 receptor leading to increased endothelial permeability [ XREF_BIBR ] .,2,6,inhibits,Negative_activation_syntax_1_verb,Negative_activation,"""Ang-2""","""Tie-2"""
""" XREF_BIBR Given that Ang-2 and Ang-1 are competing for the same endothelial bound receptor and that Ang-2 thereby inhibits Ang-1 and Tie-2 signaling related vessel stabilization , it is possible that high levels of Ang-2 serve as a surrogate marker for reduced Ang-1 and Tie-2 signaling XREF_BIBR , XREF_BIBR Several potential explanations can be invoked for the positive relations of Ang-2 to BP . """,17,23,inhibits,Negative_activation_syntax_1_verb,Negative_activation,"""Ang-2""","""Tie-2"""
Stimulation of VEGF signaling and suppression of Tie-2 by Ang-2 are critical for developing retinal neovascularization and vascular leakage [ XREF_BIBR ] .,5,10,suppression,Negative_activation_token_2_noun,Negative_activation,"""Ang-2""","""Tie-2"""
""" In addition to stimulation of VEGF signaling , the suppression of Tie-2 by Ang-2 is crucial for developing retinal neovascularization and vascular leakage [ XREF_BIBR ] . """,10,15,suppression,Negative_activation_token_2_noun,Negative_activation,"""Ang-2""","""Tie-2"""
Angiopoeitin-2 ( Ang-2 ) antagonizes Angiopeitin-1 ( Ang-1 ) -mediated Tie-2 signaling .,2,11,antagonizes,Negative_activation_syntax_1_verb,Negative_activation,"""Ang-2""","""Tie-2"""
""" Ang-2 inactivate Tie-2 , destabilizing the vasculature and increasing the response to VEGF . """,1,4,inactivate,Negative_activation_syntax_1_verb,Negative_activation,"""Ang-2""","""Tie-2"""
Ang-2 can inhibit the activation of Tie-2 by Ang-1 .,0,7,inhibit,Negative_activation_syntax_1_verb,Negative_activation,"""Ang-2""","""Tie-2"""
""" Exposure of T24 cells to costunolide was also associated with increased expression of Bax , down-regulation of Bcl-2 , survivin and significant activation of caspase-3 , and its downstream target PARP . """,20,26,activation,Positive_activation_syntax_3_noun,Positive_activation,"""survivin""","""caspase-3"""
Utilizing a cell-free system in which caspase-3 was activated in eosinophil cytosolic extracts by addition of cytochrome c and immunodepletion of cIAP-2 or survivin resulted in accelerated caspase activation .,6,24,activated,Positive_activation_syntax_2_verb,Positive_activation,"""survivin""","""caspase-3"""
""" Survivin , a member of the inhibitor-of-apoptosis family , inhibits apoptosis by blocking caspase-3 and -7 activation . """,1,15,inhibits,Negative_activation_syntax_1_verb,Positive_activation,"""Survivin""","""caspase-3"""
""" Survivin blocks apoptosis by targeting the terminal effector caspase-3 and caspase-7 ( Adida et al , 1998 ; Tamm et al , 1998 ) whereas stimulation of ceramide may be one of the molecular basis for the anti-apoptotic effect of COX-2 ( Chan et al , 1998 ) . """,1,10,blocks,Negative_activation_syntax_1_verb,Positive_activation,"""Survivin""","""caspase-3"""
""" Moreover , survivin may prevent cell apoptosis by inhibiting caspase-3 activation . """,3,11,prevent,Negative_activation_syntax_1_verb,Positive_activation,"""survivin""","""caspase-3"""
""" Survivin inhibits apoptosis , and downregulation of survivin triggers caspase-9 and caspase-3 activation , leading to the induction of apoptotic cell death . """,8,13,triggers,Positive_activation_syntax_1_verb,Positive_activation,"""survivin""","""caspase-3"""
""" Downregulation of survivin by siRNA clearly induced caspase-9 and caspase-3 cleavage in PANC-1 cells , as revealed by the Western blot analysis as expected ( XREF_FIG ) . """,3,11,induced,Positive_activation_syntax_1_verb,Positive_activation,"""survivin""","""caspase-3"""
""" Intriguingly , the knockdown of both CDK4 and CDK6 , but not CDK2 , allowed RB to become the most hypophosphorylated form and converted the SN38 sensitive cells to a resistant state . """,13,17,allowed,Positive_activation_syntax_1_verb,Positive_activation,"""CDK2""","""RB"""
""" It is generally accepted that CDK2 promotes G1/S transition by phosphorylating and thereby inactivating Rb , resulting in the activation of E2F transcription factors , as these events take place in the nucleus , cytoplasmic mislocalization of CDK2 would render it inactive in promoting cell cycle progression . """,6,16,promotes,Positive_activation_syntax_1_verb,Positive_activation,"""CDK2""","""Rb"""
Constitutive CyclinE and CDK2 induces a bypass of the early G1 phase by omitting retinoblastoma ( RB )-mediated control of early G1 to late G1 transition [ XREF_BIBR ] .,3,17,induces,Positive_activation_syntax_1_verb,Positive_activation,"""CDK2""","""RB"""
""" The upstream mTOR regulators PTEN and TSC2 are often mutated , -downregulated or altered in their protein expression level , causing mTOR activation in pancreatic NETs . """,7,23,causing,Positive_activation_syntax_1_verb,Positive_activation,"""TSC2""","""mTOR"""
""" Indeed , loss-of-function mutations in TSC2 have been shown to reduce mTOR and s6k activity XREF_BIBR . """,6,13,reduce,Negative_activation_syntax_1_verb,Positive_activation,"""TSC2""","""mTOR"""
