sentence text,event interval start,event interval end,trigger,rule,polarity,pred_polarity,controller,controlled
The direct binding of the N-terminal half of ABL-1 to ABI-1 strengthens the hypothesis that a direct interaction between these proteins exists in vivo and suggests that ABL-1 directly inhibits ABI-1 in its roles in the engulfment of apoptotic cells and DTC migration .,27,31,inhibits,Negative_activation_syntax_1_verb,Positive_activation,Negative_activation,"""ABL-1""","""ABI-1"""
"First , ABL-1 might directly inhibit ABI-1 from promoting engulfment of apoptotic cells and inappropriate DTC migration through a molecular pathway that acts in parallel to the known engulfment gene pathways ( XREF_FIG ) .",2,7,inhibit,Negative_activation_syntax_1_verb,Positive_activation,Negative_activation,"""ABL-1""","""ABI-1"""
We propose that ABL-1 inhibits ABI-1 and that these two proteins define a new molecular pathway required for cell-corpse engulfment and DTC migration .,3,6,inhibits,Negative_activation_syntax_1_verb,Positive_activation,Negative_activation,"""ABL-1""","""ABI-1"""
"Instead , abl-1 negatively regulates the engulfment gene abi-1 to inhibit cell death clearance ( See XREF_SUPPLEMENTARY ) .",2,9,negatively regulates,Negative_activation_syntax_1_verb,Positive_activation,Negative_activation,"""abl-1""","""abi-1"""
"Although the mammalian Abl inhibits cell migrations via phosphorylation of CrkII , in C. elegans the mechanism is different : ABL-1 inhibits ABI-1 ( both interact physically in vitro ) , which acts to promote engulfment .",20,23,inhibits,Negative_activation_syntax_1_verb,Positive_activation,Negative_activation,"""ABL-1""","""ABI-1"""
"By contrast , we found that ABL-1 inhibits ABI-1 .",6,9,inhibits,Negative_activation_syntax_1_verb,Positive_activation,Negative_activation,"""ABL-1""","""ABI-1"""
Knockdown of c-Abl and CAS attenuated the activation of Abi1 during contractile activation .,2,10,attenuated,Negative_activation_syntax_1_verb,Positive_activation,Positive_activation,"""c-Abl""","""Abi1"""
Knockdown of Abl and CAS attenuates the activation of Abi1 during contractile activation .,2,10,attenuates,Negative_activation_syntax_1_verb,Positive_activation,Positive_activation,"""Abl""","""Abi1"""
Genetic and biochemical data indicate that ABL-1 inhibits ABI-1 in parallel to the CED-10 Rac pathway XREF_BIBR .,6,9,inhibits,Negative_activation_syntax_1_verb,Positive_activation,Negative_activation,"""ABL-1""","""ABI-1"""
"PIP5Kalpha knockdown significantly decreased ABCA1 mediated apoA1 binding and cholesterol efflux in both RAW264.7 and HEK293 cells ( XREF_FIG , XREF_SUPPLEMENTARY ) .",4,7,mediated,Positive_early_activation,Positive_activation,Positive_activation,"""ABCA1""","""apoA1"""
